name_query,code,main_service_line,sub_service_line,engage_nature
Admin -,16027788,2,1,1
Admin -,16027793,2,1,1
Admin -,16027798,2,1,1
Admin -,16027803,2,5,1
Admin -,16027878,2,1,1
Admin -,16027883,1,1,1
Admin -,16027898,1,1,1
Admin -,16027903,2,1,1
Admin -,16027918,1,1,1
Admin -,16027963,2,1,1
Admin -,16027973,2,1,1
Admin -,16028558,2,1,1
Admin -,16028598,1,1,1
Admin -,16028603,2,1,1
Admin -,16028608,1,1,1
Admin -,16028618,2,1,1
Admin -,16028658,2,1,1
Attesta,21642018,1,3,1
IPO2018,21029898,2,1,1
AUD2018,21083658,2,1,1
2018CSR,21119008,1,3,1
结算审核,21149663,2,5,1
Admin -,21198308,2,1,1
China Z,21198438,1,3,1
Admin -,21295158,2,1,1
IFRS 16,21672053,2,2,1
2019-20,21673458,2,3,1
AUD2019,21674933,2,1,1
IPO2018,21698473,2,1,1
SPC2019,21699273,2,1,1
AUD2019,21727783,2,1,1
AUD2020,21806038,1,1,0
AUD2020,21807113,2,1,0
AUD2020,21807138,1,1,0
AUD2020,21807183,2,1,0
AUD2020,21809023,2,1,0
AUD2020,21812363,2,1,0
AUD2020,21812713,1,1,0
Sinar M,16195863,2,1,1
AUD2020,21815983,2,1,0
BMBS in,21752118,2,4,1
Account,21769188,2,2,1
海南海免观澜湖,21794238,2,5,1
AUD2020,21801678,1,1,0
AUD2020,21805183,1,1,0
AUD2020,21805413,1,1,0
AUD2020,21817903,2,1,0
AUD2020,21824738,2,1,0
AUD2020,21830253,2,1,0
CAS 21 ,22404188,2,2,1
AUD2021,22404233,2,1,1
AFS2020,22404283,2,1,1
AUD2021,23073643,2,1,0
Swisslo,23074393,2,4,1
2021 ES,23074398,2,3,1
CRMLS 2,23074438,2,3,1
Complia,23074453,2,4,1
WPP ICF,23074548,2,2,1
AUD2021,23074608,2,1,1
Admin -,23074683,2,4,1
2021 ES,23074688,2,3,1
SPC2020,21919018,2,1,1
AUD2020,21935988,2,5,1
Busines,21936083,2,4,1
AUD2019,22090623,2,1,1
AUD2019,22091303,2,1,1
AUD2020,22111128,2,1,1
IND2020,22111133,1,1,1
NFR_Adv,22122043,2,3,1
2020-WG,22130323,2,5,1
AUD2020,22130363,2,1,1
"党校""新校区项",22130408,2,5,1
RPA Pro,22130558,2,2,1
AUD2021,22132608,2,1,1
AUP2020,22135038,1,1,1
AUD2020,21833813,2,1,0
Attesta,21840753,1,3,1
Off-off,21840768,2,4,1
FAA2020,21855033,2,1,1
FAA2020,21855108,2,1,1
Project,21855348,2,4,1
hua qia,21865673,2,5,1
AUD2019,21867413,2,1,0
AUD2020,22146308,2,5,1
INT2020,22158623,2,1,1
Admin -,22164123,1,1,1
Admin -,22164133,1,2,1
Admin -,22164143,1,1,1
Admin -,22164148,1,1,1
Admin -,22164153,2,1,1
Admin -,22164158,2,1,1
AUD2020,22172668,2,1,1
AUD2020,22172683,2,1,1
Investi,22193008,2,4,1
NewLeas,22195048,2,2,1
AUP2020,22210838,2,1,1
天津化学研发实,22210988,2,5,1
SPC2020,21955008,2,1,1
IPO2020,21956828,2,1,1
AUP2020,22017008,2,1,1
Investi,22017018,2,4,1
Project,22022463,2,4,1
AUP2020,22022738,1,1,1
IPO2020,22022848,2,1,1
Jinshan,22044848,1,3,1
GE Heal,22752213,2,2,1
AUD2021,22752468,2,1,1
CAP2021,22911503,1,1,1
IPO2020,22911563,2,1,1
IND2021,22912378,2,1,1
AUD2022,22912488,2,1,0
AUD2022,22912513,2,1,0
AUD2022,22912523,2,1,0
AUD2022,22912528,2,1,0
AUD2022,22912533,2,1,0
AUD2022,22912538,2,1,0
AUD2022,22912548,2,1,0
AUD2022,22912583,2,1,0
AUD2022,22912658,2,1,0
AUD2022,22921313,2,1,0
AUD2022,22921323,2,1,0
AUD2022,22921353,2,1,0
AUD2022,22921373,2,1,0
AUD2022,22921383,2,1,0
AUD2022,22921393,2,1,0
AUD2022,22921403,2,1,0
AUD2022,22921408,2,1,0
AUD2022,22921413,2,1,0
AUD2022,22921418,2,1,0
AUD2022,22921423,2,1,0
AUD2022,22921448,2,1,0
AUD2021,22984198,2,1,1
AUD2020,22359023,2,1,1
AUD2020,22359348,2,1,1
IPO2021,22359533,2,1,1
AUD2020,22359793,2,1,0
NTS2020,22359888,2,1,1
AUD2020,22366313,2,1,1
SPC2020,22366343,2,1,1
AUD2021,22984603,2,1,1
Third-p,22984963,2,4,1
CAS21R ,22985478,2,2,1
Admin -,16373538,1,1,1
Admin -,16373543,2,1,1
2022 Tr,23276803,2,2,1
AUD2022,23276963,2,1,1
信达•银信广场,23277233,2,5,1
青岛颐中国际大,23277238,2,5,1
AUD2022,23277278,1,1,1
AUD2022,23277283,1,1,1
NTS2022,23277388,1,1,1
Project,22307598,2,4,1
Admin -,22308483,2,5,1
IPO2016,22309773,2,1,1
Shangha,22611173,2,5,1
AUD2021,22611438,1,1,1
AUP2021,22611448,1,1,1
Project,22612618,2,5,1
Changsh,22317078,2,2,1
Admin -,22317663,2,1,1
Admin -,22317673,2,1,1
Landmar,22318003,2,4,1
IPO2018,22318263,2,1,1
AUD2021,22562758,2,1,0
AUD2021,22562773,2,1,0
AUD2021,22562778,2,1,0
AUD2019,22231383,2,1,1
S&D loa,22239333,2,4,1
IFRS 16,22239738,2,2,1
AUD2020,22241763,2,1,1
IPO2020,22244468,2,1,1
2020 ES,22245543,2,3,1
AUD2020,22254328,2,1,1
Admin -,22266073,2,1,1
IPO2020,22278848,2,1,1
2020 ES,22283828,1,3,1
AUD2022,22875358,2,1,0
AUD2022,22875363,2,1,0
Admin -,16373398,2,1,1
Admin -,16373493,2,1,1
NFR-Adv,22474113,2,3,1
IPO2021,22474758,2,1,1
AUD2021,22475703,2,1,1
AUD2021,22524778,2,1,0
AUD2021,22524973,2,1,0
AUD2021,22529038,1,1,0
AUD2021,22529043,1,1,0
AUD2021,22529053,1,1,0
AUD2021,22529078,1,1,0
AUD2021,22529113,1,1,0
AUD2021,22529143,1,1,0
AUD2021,22529258,1,1,0
AUD2021,22529343,1,1,0
AUD2021,22529353,1,1,0
AUD2021,22529378,1,1,0
AUD2021,22529393,1,1,0
AUD2021,22529428,1,1,0
AUD2021,22529438,1,1,0
AUD2021,22529473,1,1,0
AUD2021,22533718,2,1,0
AUD2021,22537043,2,1,0
AUD2021,22537073,2,1,0
AUD2021,22537203,2,1,0
AUD2021,22537268,1,1,0
AUD2021,22537278,2,1,0
AUD2021,22537323,1,1,0
AUD2021,22537333,1,1,0
AUD2021,22537368,1,1,0
AUD2021,22537428,2,1,0
AUD2021,22537453,2,1,0
AUD2021,22537458,2,1,0
AUD2021,22541448,1,1,0
