eic_id,eic_gpn,eic_bu_code
62310,CN010149845,CN401
62366,CN010150672,CN405
62391,HK010151620,HK001
62434,CN010153310,CN401
62583,CN010160876,CN403
62584,CN010160881,CN403
62601,CN010161173,CN403
62703,CN010168672,CN401
62903,CN010179170,CN403
62911,CN010179843,CN403
62922,CN010180492,CN401
62927,CN010180691,CN411
62943,CN010181667,CN401
63005,CN010183465,CN403
63032,CN010185027,CN403
63043,CN010185330,CN407
63079,CN010186893,CN407
63085,CN010187017,CN405
63121,CN010188129,CN417
63127,CN010188321,CN401
63143,CN010188696,CN423
63173,HK010189341,HK001
63190,CN010190216,CN401
63238,CN010192711,CN403
63361,HK010202780,HK001
63401,CN010203867,CN401
63419,CN010204396,CN413
63783,CN010225678,CN401
63793,CN010226169,CN403
63829,CN010228140,CN403
63882,CN010230024,CN403
63940,CN010234689,CN417
64006,CN010237212,CN403
64028,CN010237277,CN403
64036,CN010237302,CN428
64045,CN010237336,CN405
64073,CN010237432,CN403
64109,CN010237615,CN401
64128,CN010237740,CN407
64134,CN010237770,CN405
64154,HK010237865,HK001
64244,CN010243032,CN401
64266,HK010244896,HK001
64270,HK010244912,HK001
64346,HK010250499,HK001
64350,HK010250965,HK001
64356,CN010251322,CN401
64364,CN010252083,CN409
64382,CN010253672,CN412
64434,CN010257306,CN422
64478,HK010259576,HK001
64519,CN010280456,CN403
64599,HK010285915,HK001
64607,CN010286171,CN415
64647,CN010288004,CN401
64690,CN010290034,CN403
64739,CN010293607,CN407
64813,CN010296495,CN401
64815,CN010296663,CN403
64833,HK010296974,HK001
64892,CN010302101,CN403
64917,CN010303314,CN401
64923,CN010303343,CN401
64968,CN010303499,CN403
65056,CN010263380,CN403
65058,CN010263386,CN403
65074,CN010263455,CN403
65106,CN010263646,CN413
65161,CN010264907,CN401
65247,HK010265974,HK001
65338,CN010267854,CN403
65389,CN010270907,CN403
65417,CN010275163,CN401
65429,CN010276049,CN403
65497,CN010278170,CN403
65556,CN010305599,CN403
65561,CN010305617,CN403
65567,CN010305647,CN428
65589,CN010305750,CN403
65600,CN010305809,CN407
65615,CN010305865,CN403
65661,HK010307860,HK001
65678,CN010308733,CN403
65722,HK010312179,HK001
65789,CN010316349,CN405
65797,HK010316524,HK001
65824,CN010318038,CN401
65837,CN010318528,CN411
65849,CN010319600,CN415
65888,CN010322533,CN401
65917,CN010323663,CN403
65922,CN010323792,CN403
66003,CN010328284,CN403
66043,CN010328497,CN403
66052,CN010328521,CN403
66083,CN010328670,CN403
66092,HK010329256,HK001
66102,HK010329616,HK001
66125,CN010330489,CN403
66140,HK010330862,HK001
66148,CN010331174,CN403
66155,CN010331537,CN405
66175,CN010332263,CN412
66272,CN010333256,CN403
66277,CN010333300,CN401
66280,CN010333307,CN401
66357,CN010335660,CN419
66367,HK010336088,HK001
66414,CN010337887,CN416
66454,CN010342516,CN413
66552,CN010352710,CN417
66556,CN010352732,CN409
66564,HK010353115,HK070
66595,CN010356179,CN403
66637,CN010356448,CN403
66722,CN010359669,CN407
66779,HK010361378,HK001
66824,CN010362751,CN401
66916,CN010365852,CN401
66950,HK010368322,HK001
67073,CN010379188,CN401
67102,HK010381251,HK040
67119,CN010382324,CN407
67130,HK010382490,HK001
67149,CN010383260,CN401
67191,HK010386795,HK001
67199,CN010387773,CN422
67200,CN010387774,CN422
67203,CN010387808,CN422
67228,CN010389647,CN401
67295,CN010393160,CN714
67296,CN010393162,CN777
67298,CN010393164,CN714
67318,CN010393237,CN414
67326,CN010393250,CN414
67327,CN010393253,CN414
67397,CN010394183,CN403
67422,CN010395572,CN401
67520,CN010397636,CN403
67524,CN010397736,CN403
67547,HK010398707,HK001
67663,CN010401849,CN722
67670,CN010402183,CN773
67832,HK010411608,HK001
67924,CN010418230,CN722
67942,CN010422989,CN422
68036,CN010427793,CN405
68049,CN010427851,CN415
68058,CN010427901,CN406
68134,CN010432630,CN416
68148,CN010432736,CN403
68179,CN010432864,CN413
68200,CN010433012,CN403
68202,CN010433016,CN403
68222,CN010433102,CN401
68259,CN010433353,CN403
68270,CN010433418,CN401
68276,CN010433443,CN401
68286,CN010433490,CN401
68762,CN010481350,CN403
68908,CN010491684,CN413
68938,CN010493809,CN407
69002,HK010444617,HK001
69015,CN010445013,CN771
69118,HK010451439,HK001
69124,CN010451735,CN401
69214,HK010459854,HK001
69216,HK010459883,HK001
69253,HK010462703,HK001
69343,CN010467231,CN405
69346,CN010467391,CN403
69354,CN010467724,CN413
69418,CN010469887,CN405
69509,CN010498701,CN403
69527,CN010499813,CN403
69830,CN010512401,CN401
70022,CN010517169,CN413
70165,CN010523747,CN409
70166,CN010523748,CN409
70177,CN010525258,CN403
70291,CN010534125,CN427
70348,CN010538154,CN401
70366,CN010539231,CN403
70375,CN010539621,CN420
70405,CN010542987,CN407
70470,CN010547644,CN401
70508,CN010550071,CN401
70516,CN010550844,CN403
70537,CN010551652,CN422
70567,CN010553343,CN725
70568,CN010553344,CN725
70618,CN010554236,CN401
70724,CN010555604,CN401
70733,HK010556339,HK001
70768,CN010557257,CN401
70774,CN010557801,CN403
70776,CN010557840,CN401
70777,HK010557842,HK001
70929,CN010560285,CN409
71035,CN010564341,CN403
71131,CN010568351,CN403
71257,HK010579249,HK001
72178,HK010637590,HK001
73086,CN010685247,CN403
73095,CN010685962,CN403
73118,CN010685187,CN403
73515,CN010703655,CN417
73524,CN010704221,CN417
73540,CN010705306,CN403
73693,CN011001326,CN403
73711,CN011001586,CN403
73722,CN011001768,CN403
73738,CN011002110,CN401
73776,CN011002662,CN401
73791,CN011002852,CN403
73800,HK011002952,HK001
73850,CN011003367,CN403
73866,CN011003525,CN403
73872,CN011003627,CN401
73908,CN011004001,CN403
74034,CN011005332,CN405
74081,HK011005672,HK001
74640,CN011011250,CN403
74720,CN011011653,CN403
74723,CN011011671,CN403
74797,CN011012116,CN419
74916,HK011014985,HK001
75024,CN011016438,CN419
75041,HK011016635,HK001
75052,HK011016752,HK001
75101,HK011017236,HK001
75214,HK011018163,HK001
75274,CN011018597,CN403
75300,HK011018785,HK001
75305,HK011018816,HK001
75462,HK011019988,HK040
75564,XC021021215,XC060
75642,CN011023818,CN401
75674,CN011024195,CN403
75777,CN013715725,CN401
75990,HK010405949,HK001
76059,HK010406603,HK001
76251,HK010407896,HK001
76731,CN010771380,CN401
76774,CN010771616,CN401
76859,CN010771919,CN401
76986,CN010772462,CN414
77062,CN010772783,CN407
77181,CN010773301,CN401
77198,CN010773368,CN401
77691,HK010409801,HK001
77890,CN010760377,CN407
77988,CN01076X068,CN407
78041,CN0107D0091,CN407
78099,CN0107H0184,CN403
78173,CN0107W0088,CN410
78463,CN010781037,CN401
78612,CN010781656,CN403
78692,CN010781998,CN403
78807,CN010782449,CN403
78857,CN010782680,CN403
78859,CN010782684,CN403
78927,CN010782980,CN403
79100,CN01078X424,CN403
79164,CN01078X716,CN403
238555,CN010529898,CN410
238577,CN011024551,CN773
246522,CN010702796,CN413
254497,CN010072365,CN403
254932,HK010313089,HK001
255040,HK010386783,HK001
255764,HK010530141,HK040
259987,HK010173496,HK001
260078,CN010295528,CN405
261996,HK011024689,HK001
262003,HK011024212,HK001
264856,"",CN407
265064,"",TW001
265066,"",TW001
265068,"",TW001
265080,"",TW001
265082,"",TW001
265084,"",TW001
265086,"",TW001
265088,"",TW001
265090,"",TW001
265101,"",TW001
265103,"",TW001
265105,"",TW001
265107,"",TW001
265108,"",TW001
265109,"",TW001
265110,"",TW001
265111,"",TW001
265112,"",TW001
265129,"",TW001
265130,"",TW001
265131,"",TW001
265132,"",TW001
265133,"",TW001
265134,"",TW001
265147,"",TW002
265148,"",TW002
265149,"",TW002
265158,"",TW002
265159,"",TW002
265160,"",TW002
265161,"",TW003
265162,"",TW003
265163,"",TW003
265164,"",TW003
265165,"",TW003
265166,"",TW003
265169,"",TW003
265170,"",TW003
265171,"",TW003
265172,"",TW003
265173,"",TW003
265174,"",TW003
265440,"",TW001
265441,"",TW001
265442,"",TW001
265443,"",TW001
265444,"",TW001
265445,"",TW001
265463,"",TW001
265464,"",TW001
265465,"",TW001
265466,"",TW001
265467,"",TW001
265468,"",TW001
265518,"",HK001
265519,"",HK001
266278,HK011024663,HK001
266280,HK011024733,HK001
266380,CN011024877,CN405
266393,HK011024894,HK040
266656,CN011024888,CN407
267362,HK011025008,HK001
267443,HK011025094,HK001
267471,HK011025003,HK001
267805,CN420,CN420
267828,"",CN201
268011,HK011025124,HK001
268786,"",CN407
268787,"",HK001
268788,"",HK001
268921,"",CN401
268922,"",CN401
268923,"",CN401
268929,"",CN401
268930,"",CN401
268931,"",CN401
268932,"",CN401
268934,"",CN401
268935,"",CN401
268936,"",CN401
268942,"",CN401
268943,"",CN401
268944,"",CN401
268945,"",CN401
268947,"",CN401
268948,"",CN401
268949,"",CN401
268955,"",CN401
268956,"",CN401
268957,"",CN401
268958,"",CN401
268959,"",CN401
268960,"",CN401
268961,"",CN401
268962,"",CN401
268963,"",CN401
268964,"",CN401
268965,"",CN401
268973,"",CN401
268974,"",CN401
268975,"",CN401
268981,"",CN401
268982,"",CN401
268983,"",CN401
268984,"",CN401
268986,"",CN401
268987,"",CN401
268988,"",CN401
268995,"",CN401
268997,"",CN411
268998,"",CN411
268999,"",CN411
269002,"",CN411
269003,"",CN411
269004,"",CN411
269005,"",CN411
269010,"",CN423
269011,"",CN423
269012,"",CN423
269015,"",CN423
269016,"",CN423
269017,"",CN423
269018,"",CN423
269023,"",CN415
269024,"",CN415
269025,"",CN415
269031,"",CN415
269032,"",CN415
269033,"",CN415
269034,"",CN415
269035,"",CN715
269036,"",CN715
269037,"",CN715
269038,"",CN715
269039,"",CN715
269041,"",CN409
269042,"",CN409
269043,"",CN409
269049,"",CN409
269050,"",CN409
269051,"",CN409
269052,"",CN409
269059,"",HK001
269072,"",CN405
269079,"",CN405
269080,"",CN405
269081,"",CN405
269088,"",CN405
269089,"",CN405
269091,"",CN407
269092,"",CN407
269093,"",CN407
269100,"",CN407
269101,"",CN407
269102,"",CN407
269104,"",CN407
269105,"",CN407
269106,"",CN407
269113,"",CN407
269114,"",CN407
269115,"",CN407
269116,"",CN407
269118,"",CN425
269119,"",CN425
269120,"",CN425
269127,"",CN425
269128,"",CN425
269129,"",CN425
269130,"",CN425
269132,"",CN428
269133,"",CN428
269134,"",CN428
269140,"",CN428
269141,"",CN428
269142,"",CN428
269143,"",CN428
269144,"",HK001
269150,"",HK001
269156,"",HK001
269162,"",HK001
269170,"",HK001
269176,"",HK001
269179,"",HK001
269180,"",HK001
269181,"",HK001
269182,"",HK001
269183,"",HK001
269184,"",HK001
269185,"",HK001
269186,"",HK001
269187,"",HK001
269188,"",HK001
269189,"",HK001
269190,"",HK001
269191,"",HK001
269192,"",HK001
269193,"",HK001
269194,"",HK001
269247,"",HK001
269248,"",HK001
269249,"",HK001
269250,"",HK001
269254,"",HK001
269256,"",HK001
269257,"",HK001
269258,"",HK001
269259,"",HK001
269260,"",HK001
269261,"",HK001
269262,"",HK001
269263,"",HK001
269264,"",HK001
269265,"",HK001
269266,"",HK001
269267,"",HK001
269268,"",HK001
269269,"",HK001
269270,"",HK001
269271,"",HK001
269272,"",HK001
269273,"",HK001
269274,"",HK001
269275,"",HK001
269276,"",HK001
269277,"",HK001
269278,"",HK001
269381,"",HK001
269382,"",HK001
269383,"",HK001
269384,"",HK001
269385,"",HK001
269386,"",HK001
269387,"",HK001
269388,"",HK001
269389,"",HK001
269390,"",HK001
269392,"",HK001
269393,"",HK001
269394,"",HK001
269395,"",HK001
269421,"",HK001
269466,"",HK070
269468,"",HK001
269578,"",CN413
269579,"",CN413
269580,"",CN413
269586,"",CN413
269587,"",CN413
269588,"",CN413
269589,"",CN413
269591,"",CN427
269592,"",CN427
269599,"",CN426
269600,"",CN426
269601,"",CN426
269607,"",CN426
269608,"",CN426
269609,"",CN426
269610,"",CN426
269611,"",HK070
269618,"",CN429
269619,"",CN429
269620,"",CN429
269626,"",CN429
269627,"",CN429
269628,"",CN429
269629,"",CN429
269631,"",CN419
269632,"",CN419
269633,"",CN419
269639,"",CN419
269640,"",CN419
269641,"",CN419
269642,"",CN419
269643,"",CN417
269644,"",CN417
269645,"",CN417
269651,"",CN417
269652,"",CN417
269653,"",CN417
269654,"",CN417
269657,"",CN403
269658,"",CN403
269659,"",CN403
269665,"",CN403
269666,"",CN403
269667,"",CN403
269668,"",CN403
269670,"",CN403
269671,"",CN403
269672,"",CN403
269678,"",CN403
269679,"",CN403
269680,"",CN403
269681,"",CN403
269683,"",CN403
269684,"",CN403
269685,"",CN403
269691,"",CN403
269692,"",CN403
269693,"",CN403
269694,"",CN403
269696,"",CN403
269697,"",CN403
269698,"",CN403
269704,"",CN403
269705,"",CN403
269706,"",CN403
269707,"",CN403
269709,"",CN403
269710,"",CN403
269711,"",CN403
269717,"",CN403
269718,"",CN403
269719,"",CN403
269720,"",CN403
269722,"",CN403
269723,"",CN403
269724,"",CN403
269730,"",CN403
269731,"",CN403
269732,"",CN403
269733,"",CN403
269735,"",CN416
269736,"",CN416
269737,"",CN416
269743,"",CN416
269744,"",CN416
269745,"",CN416
269746,"",CN416
269748,"",CN420
269749,"",CN420
269750,"",CN420
269756,"",CN420
269757,"",CN420
269758,"",CN420
269759,"",CN420
269761,"",CN405
269762,"",CN405
269763,"",CN405
269769,"",CN405
269770,"",CN405
269771,"",CN405
269772,"",CN405
269774,"",CN405
269781,"",CN405
269783,"",CN412
269784,"",CN412
269785,"",CN412
269792,"",CN430
269793,"",CN430
269794,"",CN430
269800,"",CN430
269801,"",CN430
269802,"",CN430
269803,"",CN430
269805,"",CN410
269806,"",CN410
269807,"",CN410
269813,"",CN410
269814,"",CN410
269815,"",CN410
269816,"",CN410
269818,"",CN414
269819,"",CN414
269820,"",CN414
269826,"",CN414
269827,"",CN414
269828,"",CN414
269829,"",CN414
269831,"",CN414
269832,"",CN414
269833,"",CN414
269839,"",CN414
269840,"",CN414
269841,"",CN414
269842,"",CN414
269854,"",CN406
269855,"",CN406
269856,"",CN406
269858,"",CN406
269859,"",CN406
269860,"",CN406
269861,"",CN406
269863,"",CN406
269864,"",CN406
269865,"",CN406
269867,"",CN406
269868,"",CN406
269869,"",CN406
269870,"",CN406
269871,"",CN406
269873,"",CN422
269874,"",CN422
269875,"",CN422
269881,"",CN422
269882,"",CN422
269883,"",CN422
269884,"",CN422
269886,"",CN771
269887,"",CN771
269888,"",CN771
269894,"",CN771
269895,"",CN771
269896,"",CN771
269897,"",CN771
269899,"",CN777
269900,"",CN777
269901,"",CN777
269907,"",CN777
269908,"",CN777
269909,"",CN777
269910,"",CN777
269911,"",CN725
269913,"",CN725
269914,"",CN725
269918,"",CN725
269919,"",CN725
269920,"",CN725
269921,"",CN725
269925,"",CN726
269926,"",CN726
269932,"",CN726
269933,"",CN717
269934,"",CN717
269941,"",CN717
269943,"",CN714
269944,"",CN714
269945,"",CN714
269951,"",CN714
269952,"",CN714
269953,"",CN714
269954,"",CN714
269956,"",CN722
269957,"",CN722
269958,"",CN722
269964,"",CN722
269965,"",CN722
269966,"",CN722
