bu_code
CN001
CN003
CN005
CN006
CN007
CN009
CN010
CN011
CN012
CN013
CN016
CN017
CN101
CN201
CN203
CN205
CN206
CN207
CN209
CN210
CN211
CN212
CN213
CN214
CN215
CN216
CN217
CN219
CN220
CN222
CN223
CN225
CN226
CN227
CN228
CN229
CN230
CN307
CN308
CN351
CN353
CN355
CN356
CN385
CN401
CN403
CN405
CN406
CN407
CN409
CN410
CN411
CN412
CN413
CN414
CN415
CN416
CN417
CN419
CN420
CN422
CN423
CN425
CN426
CN427
CN428
CN429
CN430
CN501
CN503
CN507
CN526
CN550
CN551
CN554
CN558
CN603
CN631
CN633
CN636
CN639
CN681
CN714
CN715
CN717
CN722
CN725
CN726
CN771
CN773
CN777
CN783
CN801
CN803
CN805
HK001
HK002
HK003
HK020
HK022
HK030
HK040
HK050
HK060
HK070
HK080
HK112
HK118
HK300
HK307
HK550
HK610
HK820
